parentEventID,eventID,island,locality,eventDate,maximumDepthInMeters,decimalLatitude,decimalLongitude,georeferenceProtocol,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,geodeticDatum,verbatimCoordinateSystem,Country,countryCode
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_6,Ascension,Guano Jetty,2015-8-19,8,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Lixo_2007,BR:PELD-ILOC:Trindade_Lixo_2007_7,Trindade,Lixo,2007,7,-20.524679,-29.328228,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_7,Ascension,Guano Jetty,2015-8-19,8,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Lixo_2007,BR:PELD-ILOC:Trindade_Lixo_2007_8,Trindade,Lixo,2007,7,-20.524679,-29.328228,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_8,Ascension,Guano Jetty,2015-8-19,13,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Lixo_2007,BR:PELD-ILOC:Trindade_Lixo_2007_9,Trindade,Lixo,2007,7,-20.524679,-29.328228,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_9,Ascension,Guano Jetty,2015-8-19,9,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Lixo_2007,BR:PELD-ILOC:Trindade_Lixo_2007_10,Trindade,Lixo,2007,7,-20.524679,-29.328228,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_10,Ascension,Guano Jetty,2015-8-19,9,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Lixo_2007,BR:PELD-ILOC:Trindade_Lixo_2007_11,Trindade,Lixo,2007,8,-20.524679,-29.328228,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_11,Ascension,Guano Jetty,2015-8-19,10,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Lixo_2007,BR:PELD-ILOC:Trindade_Lixo_2007_12,Trindade,Lixo,2007,12,-20.524679,-29.328228,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_12,Ascension,Guano Jetty,2015-8-19,12,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Lixo_2007,BR:PELD-ILOC:Trindade_Lixo_2007_13,Trindade,Lixo,2007,12,-20.524679,-29.328228,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_13,Ascension,Guano Jetty,2015-8-19,8,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Lixo_2007,BR:PELD-ILOC:Trindade_Lixo_2007_14,Trindade,Lixo,2007,12,-20.524679,-29.328228,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_14,Ascension,Guano Jetty,2015-8-19,7,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Lixo_2007,BR:PELD-ILOC:Trindade_Lixo_2007_15,Trindade,Lixo,2007,12,-20.524679,-29.328228,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_15,Ascension,Guano Jetty,2015-8-19,7,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Lixo_2007,BR:PELD-ILOC:Trindade_Lixo_2007_16,Trindade,Lixo,2007,12,-20.524679,-29.328228,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_16,Ascension,Guano Jetty,2015-8-19,12,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_17,Trindade,Martin Vaz Oeste,2007,6,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_17,Ascension,Guano Jetty,2015-8-19,10,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_18,Trindade,Martin Vaz Oeste,2007,6,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_18,Ascension,Guano Jetty,2015-8-20,11,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_19,Trindade,Martin Vaz Oeste,2007,8,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_19,Ascension,Guano Jetty,2015-8-20,12,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_20,Trindade,Martin Vaz Oeste,2007,8,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_20,Ascension,Guano Jetty,2015-8-20,10,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_21,Trindade,Martin Vaz Oeste,2007,10,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_21,Ascension,Guano Jetty,2015-8-20,6,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_22,Trindade,Martin Vaz Oeste,2007,10,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_22,Ascension,Guano Jetty,2015-8-20,6,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_23,Trindade,Martin Vaz Oeste,2007,10,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_23,Ascension,Guano Jetty,2015-8-20,8,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_24,Trindade,Martin Vaz Oeste,2007,10,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_24,Ascension,Guano Jetty,2015-8-20,6,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_25,Trindade,Martin Vaz Oeste,2007,10,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_25,Ascension,Guano Jetty,2015-8-20,13,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_26,Trindade,Martin Vaz Oeste,2007,10,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_26,Ascension,Guano Jetty,2015-8-20,11,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_27,Trindade,Martin Vaz Oeste,2007,10,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Guano_Jetty_2015,BR:PELD-ILOC:Ascension_Guano_Jetty_2015_27,Ascension,Guano Jetty,2015-8-20,10,-7.892485,-14.386745,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_28,Trindade,Martin Vaz Oeste,2007,10,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Northeast_Point_2015,BR:PELD-ILOC:Ascension_Northeast_Point_2015_28,Ascension,Northeast Point,2015-8-20,8,-7.911452,-14.332353,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_29,Trindade,Martin Vaz Oeste,2007,10,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Northeast_Point_2015,BR:PELD-ILOC:Ascension_Northeast_Point_2015_29,Ascension,Northeast Point,2015-8-20,8,-7.911452,-14.332353,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_30,Trindade,Martin Vaz Oeste,2007,10,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Northeast_Point_2015,BR:PELD-ILOC:Ascension_Northeast_Point_2015_30,Ascension,Northeast Point,2015-8-20,8,-7.911452,-14.332353,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_31,Trindade,Martin Vaz Oeste,2007,10,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Northeast_Point_2015,BR:PELD-ILOC:Ascension_Northeast_Point_2015_31,Ascension,Northeast Point,2015-8-20,8,-7.911452,-14.332353,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_32,Trindade,Martin Vaz Oeste,2007,10,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Northeast_Point_2015,BR:PELD-ILOC:Ascension_Northeast_Point_2015_32,Ascension,Northeast Point,2015-8-20,7,-7.911452,-14.332353,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007,BR:PELD-ILOC:Trindade_Martin_Vaz_Oeste_2007_33,Trindade,Martin Vaz Oeste,2007,10,-20.474061,-28.856821,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Northeast_Point_2015,BR:PELD-ILOC:Ascension_Northeast_Point_2015_33,Ascension,Northeast Point,2015-8-20,8,-7.911452,-14.332353,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Praia_da_Calheta_2007,BR:PELD-ILOC:Trindade_Praia_da_Calheta_2007_34,Trindade,Praia da Calheta,2007,6,-20.506512,-29.31243,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Northeast_Point_2015,BR:PELD-ILOC:Ascension_Northeast_Point_2015_34,Ascension,Northeast Point,2015-8-20,8,-7.911452,-14.332353,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Praia_da_Calheta_2007,BR:PELD-ILOC:Trindade_Praia_da_Calheta_2007_35,Trindade,Praia da Calheta,2007,6,-20.506512,-29.31243,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Northeast_Point_2015,BR:PELD-ILOC:Ascension_Northeast_Point_2015_35,Ascension,Northeast Point,2015-8-23,8,-7.911452,-14.332353,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Praia_da_Calheta_2007,BR:PELD-ILOC:Trindade_Praia_da_Calheta_2007_36,Trindade,Praia da Calheta,2007,6,-20.506512,-29.31243,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Northeast_Point_2015,BR:PELD-ILOC:Ascension_Northeast_Point_2015_36,Ascension,Northeast Point,2015-8-23,8,-7.911452,-14.332353,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Praia_da_Calheta_2007,BR:PELD-ILOC:Trindade_Praia_da_Calheta_2007_37,Trindade,Praia da Calheta,2007,6,-20.506512,-29.31243,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Northeast_Point_2015,BR:PELD-ILOC:Ascension_Northeast_Point_2015_37,Ascension,Northeast Point,2015-8-23,8,-7.911452,-14.332353,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Trindade_Praia_da_Calheta_2007,BR:PELD-ILOC:Trindade_Praia_da_Calheta_2007_38,Trindade,Praia da Calheta,2007,8,-20.506512,-29.31243,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
BR:PELD-ILOC:Ascension_Northeast_Point_2015,BR:PELD-ILOC:Ascension_Northeast_Point_2015_38,Ascension,Northeast Point,2015-8-23,6,-7.911452,-14.332353,"Coordinates obtained  based on orthophotography inspection, personal communication and previous studies on sites",Underwater Visual Survey - 20 x 2m,one observer per transect,40,square meter,WGS84,decimal degrees,Brazil,BR
