eventID,occurrenceID,measurementValue,analyzedBy,measurementType,measurementeUnity
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3_occ_11,58.83333333,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3_occ_12,18.333333337,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3_occ_13,4.166666667,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3_occ_14,8.5,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4_occ_15,19.630303032,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4_occ_16,44.92727273,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4_occ_17,27.993939397,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4_occ_18,7.448484847,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5_occ_19,5.2,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5_occ_20,61.6,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5_occ_21,4.8,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5_occ_22,17.4,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5_occ_23,11,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6_occ_24,19.200000003,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6_occ_25,32.46666667,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6_occ_26,2.6,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6_occ_27,11.8,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6_occ_28,2.6,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6_occ_29,13.33333333,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6_occ_30,18,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7_occ_31,22.4,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7_occ_32,32,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7_occ_33,2.6,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7_occ_34,5,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7_occ_35,15.2,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7_occ_36,22.8,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8_occ_37,2.181818182,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8_occ_38,19.863636368999998,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8_occ_39,20.04545455,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8_occ_40,10.363636363,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8_occ_41,12.333333332999999,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8_occ_42,35.21212121,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9_occ_43,27.212121207,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9_occ_44,30.48484848,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9_occ_45,7.696969698,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9_occ_46,7.696969697,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9_occ_47,26.90909091,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1_occ_48,15.454545454,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1_occ_49,44.77272727,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1_occ_50,2,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1_occ_51,8.348484848,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1_occ_52,4.545454545,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1_occ_53,2.166666667,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1_occ_54,22.71212121,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2_occ_55,2.6,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2_occ_56,12.527272728,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2_occ_57,51.61818182,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2_occ_58,20.29090909,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2_occ_59,2.363636364,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2_occ_60,10.6,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3_occ_61,6.363636364,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3_occ_62,39.79220779,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3_occ_63,28.62337662,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3_occ_64,25.22077922,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4_occ_65,11.315151515,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4_occ_66,26.51212121,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4_occ_67,24.7969697,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4_occ_68,6.5,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4_occ_69,30.87575758,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q5CA_2018_RASO_T2_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q5CA_2018_RASO_T2_Q5_occ_70,6.348484848,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q5CA_2018_RASO_T2_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q5CA_2018_RASO_T2_Q5_occ_71,46.56060606,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q5CA_2018_RASO_T2_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q5CA_2018_RASO_T2_Q5_occ_72,34.227272729999996,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q5CA_2018_RASO_T2_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q5CA_2018_RASO_T2_Q5_occ_73,12.86363636,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q6CA_2018_RASO_T2_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q6CA_2018_RASO_T2_Q6_occ_74,23.03030303,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q6CA_2018_RASO_T2_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q6CA_2018_RASO_T2_Q6_occ_75,10.333333334,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q6CA_2018_RASO_T2_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q6CA_2018_RASO_T2_Q6_occ_76,40.84848485,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q6CA_2018_RASO_T2_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q6CA_2018_RASO_T2_Q6_occ_77,25.78787879,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7_occ_78,2.363636364,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7_occ_79,41,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7_occ_80,13.242424242,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7_occ_81,13.24242424,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7_occ_82,30.15151515,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q8CA_2018_RASO_T2_Q8,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q8CA_2018_RASO_T2_Q8_occ_83,6.3636363639999995,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q8CA_2018_RASO_T2_Q8,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q8CA_2018_RASO_T2_Q8_occ_84,24.4,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q8CA_2018_RASO_T2_Q8,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q8CA_2018_RASO_T2_Q8_occ_85,46.90909091,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q8CA_2018_RASO_T2_Q8,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q8CA_2018_RASO_T2_Q8_occ_86,22.32727273,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q9CA_2018_RASO_T2_Q9,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q9CA_2018_RASO_T2_Q9_occ_87,2.166666667,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q9CA_2018_RASO_T2_Q9,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q9CA_2018_RASO_T2_Q9_occ_88,6.566666667,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q9CA_2018_RASO_T2_Q9,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q9CA_2018_RASO_T2_Q9_occ_89,29.13333333,Julia B Zamoner,Percentage cover,dimensionless
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q9CA_2018_RASO_T2_Q9,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q9CA_2018_RASO_T2_Q9_occ_90,27.23333333,Julia B Zamoner,Percentage cover,dimensionless
