eventID,occurrenceID,scientificName,analyzedBy,scientificNameID,taxonRank,organismQuantityType,basisOfRecord
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3_occ_11,Lithophylloideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:162861,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3_occ_12,Filamentous,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3_occ_13,Siderastrea,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:204291,Genus,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q3CA_2018_RASO_T1_Q3_occ_14,Turf,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4_occ_15,Amphiroideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:368753,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4_occ_16,Lithophylloideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:162861,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4_occ_17,Filamentous,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q4CA_2018_RASO_T1_Q4_occ_18,Turf,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5_occ_19,Amphiroideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:368753,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5_occ_20,Lithophylloideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:162861,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5_occ_21,Cyanobacteria,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:146537,Phylum,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5_occ_22,Filamentous,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q5CA_2018_RASO_T1_Q5_occ_23,Turf,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6_occ_24,Amphiroideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:368753,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6_occ_25,Lithophylloideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:162861,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6_occ_26,Dictyota,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:144086,Genus,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6_occ_27,Filamentous,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6_occ_28,Padina,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:144088,Genus,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6_occ_29,Siderastrea,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:204291,Genus,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q6CA_2018_RASO_T1_Q6_occ_30,Turf,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7_occ_31,Amphiroideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:368753,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7_occ_32,Lithophylloideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:162861,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7_occ_33,Dictyota,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:144086,Genus,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7_occ_34,Filamentous,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7_occ_35,Siderastrea,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:204291,Genus,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q7CA_2018_RASO_T1_Q7_occ_36,Turf,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8_occ_37,Sand gravel,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8_occ_38,Amphiroideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:368753,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8_occ_39,Lithophylloideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:162861,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8_occ_40,Dictyota,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:144086,Genus,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8_occ_41,Filamentous,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q8CA_2018_RASO_T1_Q8_occ_42,Turf,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9_occ_43,Amphiroideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:368753,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9_occ_44,Lithophylloideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:162861,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9_occ_45,Filamentous,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9_occ_46,Porifera,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:558,Phylum,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT1Q9CA_2018_RASO_T1_Q9_occ_47,Turf,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1_occ_48,Amphiroideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:368753,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1_occ_49,Lithophylloideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:162861,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1_occ_50,Dictyota,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:144086,Genus,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1_occ_51,Filamentous,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1_occ_52,Padina,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:144088,Genus,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1_occ_53,Siderastrea,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:204291,Genus,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q1CA_2018_RASO_T2_Q1_occ_54,Turf,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2_occ_55,Sand gravel,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2_occ_56,Amphiroideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:368753,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2_occ_57,Lithophylloideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:162861,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2_occ_58,Filamentous,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2_occ_59,Padina,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:144088,Genus,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q2CA_2018_RASO_T2_Q2_occ_60,Turf,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3_occ_61,Amphiroideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:368753,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3_occ_62,Lithophylloideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:162861,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3_occ_63,Filamentous,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q3CA_2018_RASO_T2_Q3_occ_64,Turf,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4_occ_65,Amphiroideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:368753,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4_occ_66,Lithophylloideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:162861,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4_occ_67,Filamentous,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4_occ_68,Siderastrea,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:204291,Genus,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q4CA_2018_RASO_T2_Q4_occ_69,Turf,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q5CA_2018_RASO_T2_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q5CA_2018_RASO_T2_Q5_occ_70,Amphiroideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:368753,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q5CA_2018_RASO_T2_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q5CA_2018_RASO_T2_Q5_occ_71,Lithophylloideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:162861,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q5CA_2018_RASO_T2_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q5CA_2018_RASO_T2_Q5_occ_72,Filamentous,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q5CA_2018_RASO_T2_Q5,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q5CA_2018_RASO_T2_Q5_occ_73,Turf,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q6CA_2018_RASO_T2_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q6CA_2018_RASO_T2_Q6_occ_74,Lithophylloideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:162861,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q6CA_2018_RASO_T2_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q6CA_2018_RASO_T2_Q6_occ_75,Filamentous,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q6CA_2018_RASO_T2_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q6CA_2018_RASO_T2_Q6_occ_76,Siderastrea,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:204291,Genus,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q6CA_2018_RASO_T2_Q6,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q6CA_2018_RASO_T2_Q6_occ_77,Turf,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7_occ_78,Amphiroideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:368753,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7_occ_79,Lithophylloideae,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:162861,Subfamily,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7_occ_80,Filamentous,Julia B Zamoner,NA,NA,Relative cover,Human observation
BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7,BR:PELD-ILOC:Noronha_Cagarras_2018_noronhacagarras2018rasoT2Q7CA_2018_RASO_T2_Q7_occ_81,Siderastrea,Julia B Zamoner,urn:lsid:marinespecies.org:taxname:204291,Genus,Relative cover,Human observation
